,Accuracy,Train loss
0,0.7485,4.773878425272666
1,0.8263,2.6082271649069213
2,0.8523,2.146436371500377
3,0.8656,1.921652039890054
4,0.8759,1.783011077053141
5,0.8812,1.6850195860350154
6,0.8887,1.6111668914778934
7,0.8928,1.5502940894750437
8,0.8957,1.4991784601775664
9,0.9005,1.4601686269796073
10,0.9017,1.4266854575140369
11,0.905,1.3999987053098466
12,0.9062,1.3764759299471134
13,0.9112,1.3577492081932454
14,0.9108,1.3410081317603186
15,0.9099,1.3389696406459162
16,0.9115,1.3374111716069657
17,0.9119,1.3365698096366108
18,0.9126,1.3382436151507215
19,0.9104,1.3353182994825108
20,0.9117,1.3367952395150113
21,0.9115,1.3350294580021698
22,0.9121,1.3359249149998698
23,0.9118,1.334538688431482
24,0.9123,1.3336011527790486
25,0.9124,1.3335398312949063
26,0.9124,1.3337300401677814
27,0.9123,1.3341475339042583
28,0.912,1.3335400884742357
29,0.9123,1.3340013395004657
