,Accuracy,Train loss
0,0.6911,5.193493908012222
1,0.8045,2.628588409959108
2,0.8385,2.0421043065498186
3,0.8574,1.77978766184675
4,0.8707,1.6172751384354467
5,0.8789,1.5051604949917385
6,0.8862,1.419505323982093
7,0.8902,1.3494668489341668
8,0.8938,1.2929946995902089
9,0.8971,1.2450826836159503
10,0.9012,1.20335216997287
11,0.9033,1.1654345351829376
12,0.9049,1.1324406806051224
13,0.9084,1.1017471042082514
14,0.9088,1.0797640754870195
15,0.909,1.0758529966380055
16,0.9095,1.073826432465167
17,0.91,1.0707100407424752
18,0.9098,1.0688215778805454
19,0.91,1.0653451732118986
20,0.9107,1.063294648898279
21,0.9106,1.0606519282898457
22,0.9107,1.0580178440214165
23,0.9111,1.0555743657522862
24,0.9111,1.053605830806535
25,0.9111,1.0532758426062376
26,0.9112,1.053080193956138
27,0.9112,1.052842034850338
28,0.9111,1.0524917780531076
29,0.9112,1.0522870242406204
